Gene name	Gene_freq	Total
HTR5A	699	49097025
HTR3E	448	49097025
HTRA2	257	49097025
HTRA3	575	49097025
HTT	1827	49097025
HTR7	1149	49097025
HTR6	370	49097025
HTRA4	312	49097025
PTPN7	386	49097025
PTPRD	5828	49097025
PTPRA	1118	49097025
PTPRC	1947	49097025
PTPRB	2050	49097025
PTPRE	1294	49097025
PTPRCAP	133	49097025
PTPN6	444	49097025
PTPRF	1362	49097025
PTPN9	740	49097025
FZR1	507	49097025
FZD5	260	49097025
FZD6	470	49097025
G3BP2	393	49097025
G2E3	576	49097025
FZD8	372	49097025
G3BP1	487	49097025
FZD7	404	49097025
FZD9	357	49097025
G0S2	72	49097025
FOLR3	222	49097025
FOSB	318	49097025
FOS	210	49097025
FOPNL	228	49097025
FNTB	510	49097025
FOCAD	1822	49097025
FOLR1	167	49097025
FO393400.1	645	49097025
FOLR2	180	49097025
FOLH1	1275	49097025
TNPO3	827	49097025
TNR	3324	49097025
TNS1	2009	49097025
TNS3	1941	49097025
TNRC6B	1841	49097025
TNRC6C	1231	49097025
TNRC6A	1311	49097025
TNS2	735	49097025
TNRC18	1781	49097025
TNS4	552	49097025
AQP8	329	49097025
AQP3	245	49097025
AQP7	693	49097025
AQP6	244	49097025
AQR	1136	49097025
AQP12B	277	49097025
AQP9	494	49097025
AQP4	298	49097025
AQP2	278	49097025
AQP5	149	49097025
CCDC178	2748	49097025
CCDC179	112	49097025
CCDC180	1155	49097025
CCDC181	650	49097025
CCDC182	49	49097025
CCDC177	79	49097025
CCDC184	142	49097025
CCDC18	889	49097025
CCDC175	645	49097025
CCDC183	407	49097025
IDH2	1961	49097025
IDNK	179	49097025
IDH3B	270	49097025
IDH1	7537	49097025
IDO1	532	49097025
IDI1	210	49097025
IDH3G	281	49097025
IDE	820	49097025
IDH3A	308	49097025
IDI2	168	49097025
IFT80	963	49097025
IGBP1	288	49097025
IFT81	660	49097025
IGF1	822	49097025
IGF1R	2450	49097025
IGF2BP1	888	49097025
IFT88	822	49097025
IGF2	642	49097025
IGDCC3	818	49097025
IGDCC4	908	49097025
RIOK3	407	49097025
RIPOR2	1462	49097025
RIOX2	460	49097025
RIPK4	748	49097025
RIOX1	182	49097025
RIPOR1	543	49097025
RIPK2	424	49097025
RIOK2	407	49097025
RIPK1	531	49097025
RIPK3	434	49097025
IGLL5	644	49097025
IGLL1	197	49097025
IGKV1D-33	21	49097025
IGKV2D-29	66	49097025
IGKV1-33	15	49097025
IGHV3OR16-9	93	49097025
IGIP	99	49097025
IGHV3-72	56	49097025
IGKV2D-40	1	49097025
IGKV2D-28	30	49097025
C12orf42	1356	49097025
C11orf95	173	49097025
C11orf96	76	49097025
C12orf4	455	49097025
C12orf40	1139	49097025
C11orf98	74	49097025
C12orf10	170	49097025
C12orf29	213	49097025
C11orf97	126	49097025
C11orf94	81	49097025
OR10S1	412	49097025
OR10K1	591	49097025
OR10K2	494	49097025
OR10J1	465	49097025
OR10J5	331	49097025
