gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
RNH1						TSG
KIAA1033						
TMCC1						
CCBE1						
EPRS						
CKAP5						
ARHGAP45						
CLIP4						
PTK2B					ONC	
GIP						
GKAP1						
FGF23						
LGALSL						
ZNF599						
TOMM70						
ANKRD33B						
ARL1						
SNAPC5						
SPANXB1						
HDHD5						
KLF12						
C19orf53						
PAXBP1						
SLC30A5						
TMPRSS11F						
TFPT	ONC					
PHLDB3						
TSLP						TSG
GALNT12						
OR13C2						
SLC17A6						
PRND						
HORMAD1						
PLD5						
BLOC1S6						
ATXN3				PSSIBLE_TSG		
MBD2						
SHISA7						
SLC4A10						
RSU1						
DGKB						
SPATA31D4						
MTF1						
B3GLCT						
ZCCHC16						
OTOGL						
ARID4B		TSG				
IGSF1						
ZNF250						
OR7C2						
ABHD12						
HIF1AN						
CLOCK						
ANO1						
N4BP3						
RAD21L1						
ATP1A4						
ZNF341						
BAG4						
FUT5						
CYP46A1						
MYBL1						
GNA15						
ZNF470						
IFIH1						
IL1F10						
SLC23A3						
CXCL3					ONC	
MRPL38						
TMEM189						
DDO						
SLC39A3						
LMBRD1						
SLC30A2						
PTPRE						
GALP						
FYTTD1						
STXBP5						
PLXNB3						
PAX8	ONC	ONC			ONC	
ABCC8						
SLC25A38						
KLF15						
XCR1						
FAM105A						
SLC13A1						
OCLM						
TMPO						
ZMAT1						
MRPL47						
SCN11A						
TMCO6						
AARD						
PALM2						
MRGBP						
MYBL2						
LBP						
ITFG3						
PDIA4						
CRYBB1						
GJB1						
KCNK10						
RABAC1						
LARP1						
EYA4						TSG
RGS4						
CCDC147						
CNNM3						
D2HGDH						
ZNF700						
TGFBRAP1						
CISD2						
RPS16						
PPARGC1A						
SYNPO2L						
BAGE5						
TCIRG1						
METTL4						
ANAPC1						TSG
FAM207A						
WLS						
HEATR5A						
CCL24						
ZBTB8B						
MUC6						
OR1A2						
C9orf89						
AMOT						
SPATA5						
VNN2						
TNRC6C						
LRP1B	TSG					TSG
CUEDC2						
PRAMEF20						
P2RY12						
PPARA						TSG
ADIRF						
HIGD2A						
JPT2						
ZBTB45						
LGALS9B						
HIST3H3						
CADM1						TSG
OR56A4						
CTTN					ONC	
SCN4A						
UBB						
RBBP8						TSG
SERPINB4						
TTLL9						
KRTAP23-1						
WDR55						
ADA2						
HIST1H2BA						
RUVBL2						
M6PR						
C1QTNF9						
SCAPER						
APOL2						
PIM3					ONC	
PLSCR5						
SLC44A4						
MRPL14						
TEN1						
S1PR4						
CTNNB1	ONC	ONC	ONC	ONC	ONC	
KIF17						
PAK1		ONC			ONC	
OR13C9						
PSMD11						
THAP2						
OR10W1						
LOXHD1						
TIGD2						
PRKCDBP						TSG
MGMT	TSG					
LRIT3						
ENC1						
RBSN						
GCLC						
DRC3						
STX17						
NPEPL1						
LCP1	ONC					
BRCA2	TSG	TSG	TSG	PSSIBLE_TSG		TSG
ADAMTS3						
CERKL						
KCNAB2						
MFGE8						
CASP8AP2						
RNF186						
PRAMEF8						
CD70						
PPIL1						
ZNF614						
CHD5						TSG
KRTAP19-1						
EPB41L5						
LYRM9						
ILDR2						
TRDMT1						
FAM162A						
OR52D1						
OR5M9						
HCN4						
ST8SIA3						
CDH26						
LAT						
SMTNL1						
MLKL						
FAM43A						
DYM						
BPIFC						
CCDC74A						
FGD5						
OR51T1						
REX1BD						
RPIA						
STAMBPL1						
FAM155B						
SRRD						
CYP4F3						
DRC1						
OCEL1						
PPP1R13B						
KHK						
KRCC1						
VPS16						
KIAA1644						
TRPC6						
LBHD1						
HPSE						
MCF2					ONC	
BTBD19						
RNF11						
SECTM1						
FGD4						
SLFN13						
GALK1						
BCAT1						
PDK2						
FAM71E1						
PLET1						
CD8B						
FYN		ONC			ONC	
ZNF628						
ARHGAP25						
CARD16						
HTR4						
B4GAT1						
MAGED1						
TLDC1						
PACS2						
ETNK2						
FAM181B						
RHBDL1						
ASPA						
NEB						
AIM1L						
AMBP						
EEFSEC						
NXPH1						
CDPF1						
GPR87						
PARP12						
ACHE						TSG
F2RL1						
C7orf65						
ZNF214						
CABYR						
FRMD6						
SMG5						
CCDC8						
LRRC37B						
DDAH1						
ZCCHC2						
ADAM33						
NSG1						
ENGASE						
SLC6A5						
NCAN						
PRRC2B						
ZNF793						
CEP44						
DCLK2						
TCP11L1						
WBSCR17						
CORO7						
CD3D						
SYBU						
ADCY6						
TNNI3K						
ESYT1						
ATP5F1D						
TOR2A						
MANBAL						
