PROTEIN_ID	GENE_NAME	PUBMED_ID	dbSNP_ref
Q8IZC6;Q66K43;Q96JF7	COL27A1		
Q7KZN9;A8K6I9;O60556;O75878;Q5TD00;Q5TD01;Q7Z3Q3;Q9NTN0	COX15		
Q9P0S2;A6NDT5;A8K3X8;B8XYC5	COX16		
P24311;B2R4M3;Q6ICR1	COX7B		
P15954;Q6NR81	COX7C		
P11511;Q16731;Q3B764;Q58FA0;Q8IYJ7	CYP19A1		
Q16696;Q53YR8;Q6R569;Q6R570;Q9H2X2	CYP2A13		
P20813;B4DWP3;Q2V565;Q9UK46	CYP2B6		
Q9Y6A2;B4DHP8;E7EQG9;Q8N2B0	CYP46A1		
Q02928;Q06766;Q16865;Q16866;Q5VSP8;Q86SU6;Q8IWY5	CYP4A11		
Q9UKF6;O14769;Q53RS2;Q96F36	CPSF3		
O95639;D6W5S8;Q6FGE6;Q86TF8;Q9BTW6	CPSF4		
O43809;Q6IB85;Q6NE84	NUDT21		
P78560;B7Z2Q5	CRADD		
A6NIL9;B3KVZ2	CRYM-AS1		
Q9BU40;B1AKD0;B4DMP3;D3DUY6;E9PGS5;Q539E4;Q9Y3H7	CHRDL1		
Q6WN34;A5PKU9;Q6WN30;Q6WN31;Q6WN32;Q7Z5J3	CHRDL2		
P07320;Q17RF7;Q53R51;Q99681	CRYGD		
Q8WXF5;Q496G6	CRYGN		
Q96RY5;A8MZL1;B1AJY1;Q8NDN1;Q9P2C1	CRAMP1		
P02489;A0A140G945;E9PHE4;Q53X53	CRYAA		
Q9Y534;Q8ND37	CSDC2		
O75534;A8K281;E9PGZ0;G5E9Q2;O94961;Q5TF04;Q5TF05;Q68DF1;Q68DI9;Q9Y2S4	CSDE1		
Q92905;O15386;Q6AW95;Q86WQ4;Q9BQ17	COPS5		
P0CG13;A8MYX8;Q71E72;Q8NDH8;Q8WV66;Q9NX73	CHTF8		
