KEGG Gene ID	KEGG Pathway ID
10369	hsa04010|hsa04260|hsa04261|hsa04921|hsa05410|hsa05412|hsa05414
10370	hsa04137
10371	hsa04360
10376	hsa04145|hsa04210|hsa04530|hsa04540|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05130|hsa05132
10379	hsa04217|hsa04380|hsa04621|hsa04625|hsa04630|hsa05160|hsa05162|hsa05164|hsa05165|hsa05167|hsa05168|hsa05169|hsa05171|hsa05203
10380	hsa00920|hsa01100
10381	hsa04145|hsa04540|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05130|hsa05132
10382	hsa04145|hsa04540|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05130|hsa05132
10383	hsa04145|hsa04540|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05130|hsa05132
10390	hsa00440|hsa00564|hsa00565|hsa01100
103910	hsa04360|hsa04510|hsa04530|hsa04611|hsa04670|hsa04810|hsa05131|hsa05132
10392	hsa04621|hsa05120|hsa05131|hsa05132|hsa05133
10393	hsa04110|hsa04114|hsa04120|hsa04914|hsa05166
10398	hsa04022|hsa04024|hsa04270|hsa04360|hsa04510|hsa04530|hsa04670|hsa04810|hsa04921|hsa05131|hsa05132
10399	hsa05162
1040	hsa00564|hsa01100|hsa04070
10400	hsa00564|hsa01100
10401	hsa04120|hsa04630
10402	hsa00601|hsa01100
10411	hsa04015|hsa04024|hsa04072|hsa04261|hsa04670|hsa04720|hsa04726
10413	hsa04390|hsa04392
10423	hsa00562|hsa00564|hsa01100|hsa04070
10427	hsa04141|hsa05130
10434	hsa00564|hsa05231
10436	hsa03008
10437	hsa04612
10438	hsa03018
10449	hsa00062|hsa00071|hsa00280|hsa01100|hsa01212
1045	hsa05226
10450	hsa03040
10451	hsa04015|hsa04024|hsa04062|hsa04510|hsa04650|hsa04660|hsa04662|hsa04664|hsa04666|hsa04670|hsa04810|hsa05135|hsa05205|hsa05417
10452	hsa05014|hsa05022
10454	hsa04010|hsa04064|hsa04380|hsa04620|hsa04621|hsa04668|hsa04936|hsa05130|hsa05131|hsa05132|hsa05135|hsa05140|hsa05145|hsa05161|hsa05168|hsa05169|hsa05170|hsa05417
10455	hsa00071|hsa04146
10458	hsa04520|hsa04810|hsa05130|hsa05135
10459	hsa04110|hsa04114|hsa04914|hsa05100
10465	hsa03040
10468	hsa04350
10474	hsa05165
10476	hsa00190|hsa01100|hsa04714|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05208|hsa05415
10477	hsa04120
10478	hsa04146
10479	hsa04260
10482	hsa03008|hsa03013|hsa03015|hsa05014|hsa05164|hsa05168
10483	hsa04141
